system:time_start,precipitation
"Jan 1, 2016",6.368
"Jan 6, 2016",7.02
"Jan 11, 2016",18.139
"Jan 16, 2016",8.534
"Jan 21, 2016",4.949
"Jan 26, 2016",30.344
"Feb 1, 2016",32.336
"Feb 6, 2016",22.23
"Feb 11, 2016",12.659
"Feb 16, 2016",18.193
"Feb 21, 2016",21.948
"Feb 26, 2016",29.292
"Mar 1, 2016",46.452
"Mar 6, 2016",121.238
"Mar 11, 2016",54.832
"Mar 16, 2016",86.623
"Mar 21, 2016",49.776
"Mar 26, 2016",115.129
"Apr 1, 2016",74.006
"Apr 6, 2016",45.457
"Apr 11, 2016",63.48
"Apr 16, 2016",52.379
"Apr 21, 2016",38.49
"Apr 26, 2016",65.325
"May 1, 2016",91.265
"May 6, 2016",24.095
"May 11, 2016",68.707
"May 16, 2016",11.306
"May 21, 2016",33.879
"May 26, 2016",66.524
"Jun 1, 2016",25.756
"Jun 6, 2016",10.366
"Jun 11, 2016",23.018
"Jun 16, 2016",25.977
"Jun 21, 2016",32.472
"Jun 26, 2016",9.038
"Jul 1, 2016",17.572
"Jul 6, 2016",16.178
"Jul 11, 2016",7.93
"Jul 16, 2016",25.373
"Jul 21, 2016",17.466
"Jul 26, 2016",20.474
"Aug 1, 2016",4.19
"Aug 6, 2016",3.037
"Aug 11, 2016",7.97
"Aug 16, 2016",2.665
"Aug 21, 2016",20.389
"Aug 26, 2016",12.363
"Sep 1, 2016",9.111
"Sep 6, 2016",28.198
"Sep 11, 2016",13.896
"Sep 16, 2016",3.726
"Sep 21, 2016",4.613
"Sep 26, 2016",22.494
"Oct 1, 2016",6.076
"Oct 6, 2016",30.457
"Oct 11, 2016",4.302
"Oct 16, 2016",3.008
"Oct 21, 2016",28.865
"Oct 26, 2016",45.738
"Nov 1, 2016",5.016
"Nov 6, 2016",18.765
"Nov 11, 2016",10.391
"Nov 16, 2016",31.69
"Nov 21, 2016",28.62
"Nov 26, 2016",2.851
"Dec 1, 2016",35.709
"Dec 6, 2016",12.382
"Dec 11, 2016",143.51
"Dec 16, 2016",103.978
"Dec 21, 2016",68.128
"Dec 26, 2016",48.02
"Jan 1, 2017",52.399
"Jan 6, 2017",26.683
"Jan 11, 2017",66.13
"Jan 16, 2017",76.861
"Jan 21, 2017",100.248
"Jan 26, 2017",122.053
"Feb 1, 2017",49.067
"Feb 6, 2017",66.402
"Feb 11, 2017",44.995
"Feb 16, 2017",79.472
"Feb 21, 2017",51.009
"Feb 26, 2017",31.73
"Mar 1, 2017",32.341
"Mar 6, 2017",69.991
"Mar 11, 2017",58.461
"Mar 16, 2017",77.143
"Mar 21, 2017",52.571
"Mar 26, 2017",73.002
"Apr 1, 2017",75.625
"Apr 6, 2017",42.269
"Apr 11, 2017",32.246
"Apr 16, 2017",51.49
"Apr 21, 2017",28.836
"Apr 26, 2017",48.769
"May 1, 2017",54.328
"May 6, 2017",32.525
"May 11, 2017",37.297
"May 16, 2017",5.431
"May 21, 2017",11.646
"May 26, 2017",26.996
"Jun 1, 2017",34.005
"Jun 6, 2017",16.401
"Jun 11, 2017",17.812
"Jun 16, 2017",8.142
"Jun 21, 2017",31.472
"Jun 26, 2017",18.666
"Jul 1, 2017",26.412
"Jul 6, 2017",14.983
"Jul 11, 2017",12.06
"Jul 16, 2017",2.829
"Jul 21, 2017",16.183
"Jul 26, 2017",7.278
"Aug 1, 2017",4.592
"Aug 6, 2017",8.46
"Aug 11, 2017",3.535
"Aug 16, 2017",2.218
"Aug 21, 2017",12.825
"Aug 26, 2017",6.665
"Sep 1, 2017",2.547
"Sep 6, 2017",2.379
"Sep 11, 2017",3.835
"Sep 16, 2017",6.493
"Sep 21, 2017",10.062
"Sep 26, 2017",9.313
"Oct 1, 2017",1.473
"Oct 6, 2017",14.235
"Oct 11, 2017",3.884
"Oct 16, 2017",3.271
"Oct 21, 2017",3.837
"Oct 26, 2017",30.55
"Nov 1, 2017",4.302
"Nov 6, 2017",4.749
"Nov 11, 2017",10.199
"Nov 16, 2017",4.371
"Nov 21, 2017",7.984
"Nov 26, 2017",3.54
"Dec 1, 2017",5.107
"Dec 6, 2017",9.359
"Dec 11, 2017",59.149
"Dec 16, 2017",33.699
"Dec 21, 2017",11.762
"Dec 26, 2017",72.631
"Jan 1, 2018",7.25
"Jan 6, 2018",19.785
"Jan 11, 2018",33.707
"Jan 16, 2018",26.71
"Jan 21, 2018",26.947
"Jan 26, 2018",66.892
"Feb 1, 2018",67.924
"Feb 6, 2018",50.71
"Feb 11, 2018",46.808
"Feb 16, 2018",63.482
"Feb 21, 2018",114.747
"Feb 26, 2018",10.753
"Mar 1, 2018",27.992
"Mar 6, 2018",40.082
"Mar 11, 2018",28.331
"Mar 16, 2018",30.851
"Mar 21, 2018",65.716
"Mar 26, 2018",80.675
"Apr 1, 2018",80.555
"Apr 6, 2018",66.534
"Apr 11, 2018",71.9
"Apr 16, 2018",48.806
"Apr 21, 2018",78.78
"Apr 26, 2018",29.879
"May 1, 2018",48.495
"May 6, 2018",20.824
"May 11, 2018",69.501
"May 16, 2018",28.095
"May 21, 2018",57.423
"May 26, 2018",13.647
"Jun 1, 2018",27.796
"Jun 6, 2018",28.963
"Jun 11, 2018",6.397
"Jun 16, 2018",48.694
"Jun 21, 2018",20.311
"Jun 26, 2018",15.422
"Jul 1, 2018",20.436
"Jul 6, 2018",20.305
"Jul 11, 2018",34.818
"Jul 16, 2018",5.002
"Jul 21, 2018",9.921
"Jul 26, 2018",42.097
"Aug 1, 2018",3.196
"Aug 6, 2018",3.379
"Aug 11, 2018",5.352
"Aug 16, 2018",9.992
"Aug 21, 2018",2.882
"Aug 26, 2018",11.647
"Sep 1, 2018",7.559
"Sep 6, 2018",38.69
"Sep 11, 2018",25.321
"Sep 16, 2018",2.41
"Sep 21, 2018",2.11
"Sep 26, 2018",1.747
"Oct 1, 2018",1.241
"Oct 6, 2018",2.206
"Oct 11, 2018",1.718
"Oct 16, 2018",13.743
"Oct 21, 2018",1.413
"Oct 26, 2018",3.04
"Nov 1, 2018",19.49
"Nov 6, 2018",18.969
"Nov 11, 2018",2.601
"Nov 16, 2018",11.289
"Nov 21, 2018",9.81
"Nov 26, 2018",70.44
"Dec 1, 2018",77.202
"Dec 6, 2018",52.906
"Dec 11, 2018",24.763
"Dec 16, 2018",26.369
"Dec 21, 2018",38.976
"Dec 26, 2018",28.461
"Jan 1, 2019",7.634
"Jan 6, 2019",46.74
"Jan 11, 2019",68.163
"Jan 16, 2019",30.674
"Jan 21, 2019",52.026
"Jan 26, 2019",16.806
"Feb 1, 2019",20.581
"Feb 6, 2019",81.587
"Feb 11, 2019",41.484
"Feb 16, 2019",44.632
"Feb 21, 2019",79.858
"Feb 26, 2019",23.316
"Mar 1, 2019",24.121
"Mar 6, 2019",53.594
"Mar 11, 2019",60.476
"Mar 16, 2019",29.383
"Mar 21, 2019",46.577
"Mar 26, 2019",80.061
"Apr 1, 2019",38.723
"Apr 6, 2019",93.412
"Apr 11, 2019",34.991
"Apr 16, 2019",29.239
"Apr 21, 2019",35.753
"Apr 26, 2019",42.587
"May 1, 2019",39.41
"May 6, 2019",33.688
"May 11, 2019",58.341
"May 16, 2019",78.445
"May 21, 2019",60.032
"May 26, 2019",19.987
"Jun 1, 2019",24.871
"Jun 6, 2019",27.226
"Jun 11, 2019",30.075
"Jun 16, 2019",19.578
"Jun 21, 2019",15.544
"Jun 26, 2019",13.98
"Jul 1, 2019",10.435
"Jul 6, 2019",28.181
"Jul 11, 2019",9.082
"Jul 16, 2019",15.166
"Jul 21, 2019",5.164
"Jul 26, 2019",7.329
"Aug 1, 2019",19.132
"Aug 6, 2019",13.2
"Aug 11, 2019",8.764
"Aug 16, 2019",8.23
"Aug 21, 2019",12.659
"Aug 26, 2019",7.487
"Sep 1, 2019",6.563
"Sep 6, 2019",7.747
"Sep 11, 2019",2.602
"Sep 16, 2019",6.309
"Sep 21, 2019",5.77
"Sep 26, 2019",18.678
"Oct 1, 2019",11.261
"Oct 6, 2019",18.572
"Oct 11, 2019",14.286
"Oct 16, 2019",31.837
"Oct 21, 2019",23.582
"Oct 26, 2019",13.23
"Nov 1, 2019",13.309
"Nov 6, 2019",21.22
"Nov 11, 2019",29.031
"Nov 16, 2019",29.066
"Nov 21, 2019",26.196
"Nov 26, 2019",3.157
"Dec 1, 2019",14.659
"Dec 6, 2019",26.868
"Dec 11, 2019",28.332
"Dec 16, 2019",18.359
"Dec 21, 2019",34.052
"Dec 26, 2019",73.597
"Jan 1, 2020",47.832
"Jan 6, 2020",28.376
"Jan 11, 2020",13.136
"Jan 16, 2020",27.383
"Jan 21, 2020",7.254
"Jan 26, 2020",40.264
"Feb 1, 2020",33.808
"Feb 6, 2020",11.85
"Feb 11, 2020",87.769
"Feb 16, 2020",51.546
"Feb 21, 2020",63.444
"Feb 26, 2020",41.906
"Mar 1, 2020",49.256
"Mar 6, 2020",56.282
"Mar 11, 2020",23.583
"Mar 16, 2020",93.725
"Mar 21, 2020",45.537
"Mar 26, 2020",20.065
"Apr 1, 2020",51.294
"Apr 6, 2020",70.411
"Apr 11, 2020",90.828
"Apr 16, 2020",56.208
"Apr 21, 2020",49.853
"Apr 26, 2020",62.85
"May 1, 2020",46.542
"May 6, 2020",65.627
"May 11, 2020",37.46
"May 16, 2020",67.036
"May 21, 2020",73.01
"May 26, 2020",45.871
"Jun 1, 2020",31.468
"Jun 6, 2020",28.804
"Jun 11, 2020",25.976
"Jun 16, 2020",18.53
"Jun 21, 2020",14.344
"Jun 26, 2020",22.283
"Jul 1, 2020",12.819
"Jul 6, 2020",7.832
"Jul 11, 2020",8.301
"Jul 16, 2020",4.2
"Jul 21, 2020",12.641
"Jul 26, 2020",6.166
"Aug 1, 2020",7.867
"Aug 6, 2020",3.739
"Aug 11, 2020",17.241
"Aug 16, 2020",4.736
"Aug 21, 2020",24.792
"Aug 26, 2020",38.374
"Sep 1, 2020",2.063
"Sep 6, 2020",2.898
"Sep 11, 2020",2.808
"Sep 16, 2020",1.633
"Sep 21, 2020",8.046
"Sep 26, 2020",18.698
"Oct 1, 2020",2.918
"Oct 6, 2020",6.741
"Oct 11, 2020",5.799
"Oct 16, 2020",3.222
"Oct 21, 2020",6.362
"Oct 26, 2020",16.842
"Nov 1, 2020",54.832
"Nov 6, 2020",12.281
"Nov 11, 2020",25.017
"Nov 16, 2020",35.765
"Nov 21, 2020",62.898
"Nov 26, 2020",51.167
"Dec 1, 2020",7.505
"Dec 6, 2020",33.359
"Dec 11, 2020",23.035
"Dec 16, 2020",36.199
"Dec 21, 2020",31.3
"Dec 26, 2020",49.423
