system:time_start,LST_Day_1km
"Jan 1, 2016",24.293
"Jan 2, 2016",29.312
"Jan 3, 2016",29.96
"Jan 4, 2016",30.811
"Jan 5, 2016",31.53
"Jan 6, 2016",29.56
"Jan 7, 2016",27.068
"Jan 8, 2016",27.057
"Jan 9, 2016",31.561
"Jan 10, 2016",28.945
"Jan 11, 2016",31.56
"Jan 12, 2016",
"Jan 13, 2016",28.556
"Jan 14, 2016",30.48
"Jan 15, 2016",29.558
"Jan 16, 2016",28.94
"Jan 17, 2016",28.186
"Jan 18, 2016",29.18
"Jan 19, 2016",27.14
"Jan 20, 2016",21.77
"Jan 21, 2016",30.06
"Jan 22, 2016",31.871
"Jan 23, 2016",29.559
"Jan 24, 2016",30.44
"Jan 25, 2016",27.148
"Jan 26, 2016",
"Jan 27, 2016",31.07
"Jan 28, 2016",
"Jan 29, 2016",28.312
"Jan 30, 2016",18.35
"Jan 31, 2016",
"Feb 1, 2016",25.45
"Feb 2, 2016",22.633
"Feb 3, 2016",25.272
"Feb 4, 2016",23.35
"Feb 5, 2016",25.72
"Feb 6, 2016",26.21
"Feb 7, 2016",28.059
"Feb 8, 2016",26.351
"Feb 9, 2016",28.557
"Feb 10, 2016",27.941
"Feb 11, 2016",25.437
"Feb 12, 2016",28.943
"Feb 13, 2016",
"Feb 14, 2016",28.06
"Feb 15, 2016",29.15
"Feb 16, 2016",28.442
"Feb 17, 2016",25.786
"Feb 18, 2016",26.226
"Feb 28, 2016",27.061
"Feb 29, 2016",
"Mar 1, 2016",27.062
"Mar 2, 2016",
"Mar 3, 2016",
"Mar 4, 2016",25.941
"Mar 5, 2016",26.373
"Mar 6, 2016",
"Mar 7, 2016",
"Mar 8, 2016",
"Mar 9, 2016",
"Mar 10, 2016",30.309
"Mar 11, 2016",
"Mar 12, 2016",26.962
"Mar 13, 2016",27.56
"Mar 14, 2016",
"Mar 15, 2016",27.28
"Mar 16, 2016",23.99
"Mar 17, 2016",28.311
"Mar 18, 2016",
"Mar 19, 2016",27.09
